Rating,Author,Author Location,Review Date,Review Title,Review,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value for Money,Recommended Service
1.0,Bart Johnson,United States,2025-01-05,Not the best customer service,"✅ Trip Verified |   Not the best customer service. Requested wheelchair service and did not get it on the first leg. Had to fight for it on the second leg. The seat wasn’t the most comfortable. On the airbus, there are air vents for individual seats. When we first got on the plane, it was very hot. In Monrovia, the ticket service was horrible. We stood in one line and was told we had to stand in another because of the wheelchair service. And the lines were long. An item may have been left on the plane and we cannot get in touch with anybody to inquire about lost and found. The operator on the phone barely understood what I was saying language barrier. She gave me a number for the DC location. No one answered the phone and unable to leave a message. It’s amazing to me how bad the customer service is",Couple Leisure,Economy Class,Monrovia  to Washington via Addas Ababa,2025-01-01,1.0,3.0,1.0,0.0,2.0,2,no
2.0,H Thornton,United States,2025-01-03,Worst business class experience,"✅ Trip Verified | Worst business class experience you can possibly imagine. 1) Security riot before gate 19 made us almost late for our flight. No special security entrance for business class customers in Ethiopian Airlines home airport. It was a disaster. People getting crushed, children crying, Elderly getting trampled. 2) Flight left late at Addis and also Rome making us miss our connection flight in Toronto. No help. 3) Same gluten free meal for each leg of the flight and it was awful. 4) Baby crying in business class for 15 hours. Staff did nothing. I paid for an upgraded seat to be kept awake the whole flight.",Business,Business Class,Addis Ababa to Toronto via Rome,2025-01-01,2.0,1.0,1.0,1.0,2.0,3,no
3.0,I Lee,United States,2024-12-17,the toilets became dirty,"✅ Trip Verified |   Towards the end of the flight, the toilets became dirty and unhygienic.  During the pre-landing phase, I was awoken by a flight attendant unbuckling my seatbelt and removing my blanket. Such behavior is highly unprofessional. After landing in Nairobi and before the passengers started to disembark, the aircraft's power shut down. This resulted in a lack of ventilation and air conditioning for nearly 20 minutes.",Business,Economy Class,Addis Ababa to Nairobi,2024-12-01,1.0,1.0,3.0,0.0,3.0,3,no
1.0,Brenda Acan,United States,2024-12-16,Worst service ever,"✅ Trip Verified | Worst service ever. Beside delaying our flight for 12hours, our baggage got delayed and no one bothers to answer follow up calls. Our whole holiday was ruined because of Ethiopian Airlines poor service, imagine reaching on holiday with no clothes and basic personal needs. We missed out on a whole day of paid planned activities and hotel booking. I hope never to use this airline again.",Couple Leisure,Economy Class,Dubai to Zanzibar via Ethiopia,2024-12-01,1.0,1.0,1.0,1.0,1.0,1,no
3.0,Jillian Saltpaw,United States,2024-12-15,service fell painfully short,"✅ Trip Verified |   My recent journey from Washington Dulles (IAD) to Addis Ababa (ADD) on Ethiopian Airlines left much to be desired. Despite the promise of smooth air travel, the service fell painfully short at every stage. Boarding Chaos: The boarding process was an unorganized disaster, dragging on for nearly an hour. No communication, no clear instructions—just utter confusion that could’ve easily been avoided with better planning and staff coordination. Clueless Cabin Crew: Once onboard, I was met with shocking unhelpfulness. A steward noticed there was no room for my bags but simply stared blankly, offering no solution or assistance. I had to figure out on my own to place them under the seat in front of me. The crew’s inability (or unwillingness) to provide basic support was insulting. Unprofessional Behavior: The icing on the cake? A steward reached over my husband—without so much as a word—to grab a duty-free magazine. Not only did she fail to excuse herself, but she didn’t even bother to return the magazine afterward. This lack of courtesy and respect is completely unacceptable on an international flight. Overall, the disorganization, lack of professionalism, and dismissive attitude of the cabin crew made for a truly frustrating experience. Ethiopian Airlines needs to seriously rethink their training and customer service standards. Travelers deserve better.",Couple Leisure,Economy Class,Washington IAD to Johannesburg,2024-12-01,2.0,2.0,1.0,3.0,1.0,1,no
1.0,E Basano,United States,2024-12-04,Ethiopian Airlines needs to do better,"✅ Trip Verified |   I just landed from an Ethiopian airline ET516 from Lome to IAD. This was an 11 hr flight. Shortly after takeoff, the TV entertainment stopped working in my row of 3 seats. I glanced at a few other monitors and all seemed to be in my state. The tv screens didn’t respond to button presses or screen touch. This means, for the 11 hours, there was no entertainment. The button for overhead light also stopped working.  For long swatches of time, the cabin was pitch black. I guess this was by design. Needless to say this experience was a nightmare. Ethiopian Airlines needs to do better.",Solo Leisure,Economy Class,Addis Ababa to Washington via Lome,2024-11-01,2.0,2.0,1.0,1.0,2.0,1,no
4.0,M Larsen,United States,2024-12-01,I felt like I was back in the 90's,"✅ Trip Verified | HKG-BKK-ADD-LAD-ADD-VIE-CPH Ethiopian is not the worst airline I've ever flown, but it's definitely not very good. Cabin crew fluctuated between friendly and helpful, to unenthusiastic with a feeling that they had given up making an effort a long time ago. Most of the planes I flew were old. With touch screens that didn't work, and with a joystick where you press the buttons to control a mouse cursor that sloooowly moves across the screen. I felt like I was back in the 90's. The wifi did not work on roughly 75% of the flights I was on. When it did, the speeds were quite good. Toilets were, on some of the flights, disgusting. They were definitely not cleaned or refreshed regularly, and smelled really bad. On other flights they were okay. On the ADD-VIE-CPH leg the plane was a dreamliner, with more modern seats and screens. However, the inflight entertainment system was riddled with bugs. No movies would play without buffering and stuttering, making it impossible to watch for more than 10 seconds. Many screens were stuck in a neverending reboot sequence, even though the crew kept trying to reset them. On top of that, every time there was a crew announcement, the movie selection screen would reset, forcing you to scroll the list of movies all over again. Not that it mattered, as no movies were watchable due to the skipping and stuttering. On this leg, we were served a pasta salad with shrimp. I found a hair in my food, and made the cabin crew aware of this. They responded by offering me a new set of cutlery. When I asked for another pasta salad, the one I received had exactly one shrimp in it. I had the clear feeling that hair in the food would not be reported anywhere. There was no apology from the crew either. I was put on this itinerary by work, but I would never chose Ethiopian airlines for my own money.",Solo Leisure,Economy Class,Hong Kong to Copenhagen via Luanda,2024-11-01,2.0,3.0,3.0,2.0,2.0,3,no
1.0,S Jiang,United States,2024-12-01,expected much more,"✅ Trip Verified |   Service was not there at all. Flight was delayed due to inbound flight arriving late which is understandable. But they took way too long to turnover and clean with no instructions or explanation on ground. Everyone was just waiting with no idea how long to wait. When we boarding, flight attendant sounded annoyed, pointing to which aisle. We got seated and saw a more senior flight attendant sitting till take off. After take off she didn’t do much as well. Safety demonstration was a short video. Crew didn’t bother checking and making sure I was secured. Aircraft was in a relatively poor condition. Bottom of the toilet door was already falling apart, 3 charging ports between us not working, leaning back function of my seat was rough, difficult to get it moving. Even a smoking sign is inverted. Table was dirty and we were seated first row with flight attendant not even asking if we wanted the entertainment. Flight attendant provided close to no service at all. Food was ok, just weird. Flight attendant came over and asked chicken or beef without telling us what was each. So we took a beef and a chicken. What’s funny was the beef was actually lamb. Meat was still ok. But the rice for the beef was hard. The other bread, biscuits, butter and cheese were the usual packaged stuff. Pasta salad tasted weird and chocolate cake was sweet.  Towards the end of our flight, flight attendant were busy packing stuff. They even poured juices into the toilet. Prior to landing, flight attendant didn’t do landing checks to make sure things were secured. When we left, no goodbyes or a smile. Honestly expected much more from a full fledge and Africa best airline. Only compliment was the Singaporean stuff in Tokyo. Extremely friendly, polite and helpful.",Couple Leisure,Economy Class,Tokyo to Seoul,2024-12-01,2.0,1.0,2.0,0.0,5.0,1,no
1.0,Gala Pate,United States,2024-11-29,the most uncomfortable flight,Not Verified | It was the most uncomfortable flight and the service was terrible. We barely recieved a greeting when boarding. The in-flight device was sub-par and no wi-fi. We had a roundtrip from Atlanta to Lusaka and during my stay I had a death in my immediate family and had to change my departure date to attend the funeral. We went to Ethiopian Airlines office in Lusaka and they were very cold and lacked customer service. We waited for hours to speak with someone and it felt like they were deliberately ignoring us. After hours of waiting they asked for a death certificate and mind you thats not produced on the same day a person passes away. We returned at a later date with documentation and they refused to change my departure date and they informed me a change in date was impossible and if I missed my flight I would have to pay for a new ticket at full price so I ended up paying for another ticket at full price to stay for bereavement. Ethiopian staff were not empathetic and did not take into consideration that my initial ticket was already expense. On the flights the flight crew spoke in their native language and ignored everyone that did not speak their language. It was obvious they were not happy to service the passengers and only smiled when they spoke with their fellow Ethiopians.,Family Leisure,Economy Class,Atlanta GA to Lusaka Zambia via Addis Ababa,2023-12-01,1.0,1.0,1.0,1.0,1.0,1,no
4.0,R Adamski,United States,2024-11-01,didn’t like the flight or the service,"✅ Trip Verified | The staff had a rather average attitude. They were not amiable at all and seemed too busy to be attentive. I did not like their approach, and I did not feel special. The food was good, but the internet didn’t work. A flight attendant gave me another passenger’s login, but it still didn’t work. After landing, the flight attendants didn’t say goodbye to us and weren’t present at the doors. In general, I didn’t like the flight or the service.",Business,Business Class,Hong Kong to Bangkok,2024-08-01,3.0,1.0,3.0,3.0,3.0,3,no
